1-6;7;8;11;7;7;7;6;6;7;8;7;6;9;6;9;4;11;3;5;9;8;6;4;8
2-5;6;12;7;9;5;6;7;8;7;3;8;4;5;4;4;4;5;9;10;11;4;7;8;8
3-5;6;6;5;6;6;10;10;11;5;8;7;5;6;7;9;8;8;6;9;4;7;5;4;10
4-6;3;5;8;4;3;3;6;9;9;10;9;11;7;8;2;4;8;9;8;7;8;3;5;9
5-10;10;6;9;4;8;4;7;5;7;7;12;9;8;12;7;10;10;3;9;6;7;7;8;11
6-12;7;10;9;6;11;8;7;4;6;2;6;3;10;8;10;8;3;8;7;6;4;7;6;7
7-11;11;10;7;9;6;7;4;5;8;7;3;7;3;7;8;11;4;7;2;6;9;10;9;5
8-9;9;3;10;8;12;3;6;8;11;7;5;5;9;10;9;9;6;7;3;12;4;9;8;4
9-7;10;9;3;10;9;5;7;3;3;7;8;7;6;5;10;6;6;5;7;7;6;6;12;6
10-9;7;9;8;9;8;11;10;8;11;5;5;8;7;9;6;6;8;4;5;6;5;9;9;6
11-8;4;8;6;7;12;4;5;4;8;12;10;11;5;6;2;3;7;4;9;2;3;10;7;8
12-6;9;8;7;9;7;9;4;3;2;4;8;4;9;8;8;9;7;7;4;10;9;5;6;4
13-7;5;5;6;10;9;7;5;11;3;5;11;7;7;7;9;3;6;11;9;3;3;10;12;7
14-7;5;7;11;8;7;3;4;9;7;7;5;5;6;10;5;6;6;5;7;4;7;4;7;7
15-10;5;4;11;6;8;9;6;10;11;11;4;8;8;7;6;4;6;2;4;7;11;12;6;4
16-10;4;8;11;7;5;4;10;4;6;7;8;7;10;9;6;3;11;7;7;8;8;7;11;5
17-7;4;6;6;4;7;4;4;11;7;9;11;7;6;5;12;8;4;4;7;3;5;4;12;4
18-8;6;4;6;9;3;6;9;9;5;6;6;9;8;6;7;3;10;6;11;4;3;6;4;5
19-5;4;2;5;5;6;8;8;11;7;12;8;6;9;11;5;9;10;11;8;3;5;5;12;3
20-4;8;8;12;4;9;9;7;8;9;11;11;5;7;7;3;4;9;6;11;6;10;7;9;3
21-7;7;8;7;7;5;7;9;10;7;9;3;4;8;7;10;10;11;5;2;11;11;3;11;6
22-8;5;8;11;9;6;4;4;6;7;4;7;6;4;4;6;10;6;5;11;9;5;4;12;6
23-6;7;4;7;9;8;7;6;6;8;8;8;10;9;8;8;7;8;7;9;8;6;8;7;7
24-5;2;10;5;4;9;11;4;8;9;3;6;6;7;5;5;7;10;10;10;6;9;9;7;8
25-7;10;4;11;10;9;8;7;3;6;10;7;6;7;7;10;7;5;8;10;4;7;3;3;8
26-9;5;4;5;4;12;5;10;10;8;6;4;5;4;5;9;9;5;3;6;5;8;12;6;9
27-4;6;7;7;7;2;7;6;5;5;3;11;4;7;3;9;6;6;5;7;5;5;6;5;8
28-6;5;6;8;8;8;7;9;7;7;6;11;4;11;8;6;4;7;9;3;3;2;6;4;8
29-5;9;4;4;9;6;7;6;2;4;9;3;5;8;4;3;7;7;6;5;9;7;4;6;7
30-7;6;4;8;5;8;3;7;8;9;5;10;6;3;8;10;10;8;7;11;2;7;7;9;10
31-8;3;10;5;8;7;7;9;9;7;9;8;8;6;2;11;7;7;5;11;5;2;6;7;11
32-6;6;6;4;8;6;8;11;4;7;12;7;10;8;9;3;6;10;9;8;6;7;7;6;9
33-5;9;6;10;7;10;7;8;9;11;5;9;7;8;7;9;10;8;10;2;4;9;6;9;10
34-7;9;7;7;9;3;9;4;10;5;8;7;7;6;5;6;8;8;6;10;2;7;8;6;3
35-7;10;6;11;7;3;9;6;5;11;4;10;6;11;6;8;3;4;2;9;6;5;3;6;7
36-5;6;3;5;9;6;5;10;8;10;11;5;12;7;6;9;3;5;10;5;8;7;6;9;11
37-8;4;5;9;3;9;9;6;6;2;7;5;5;8;7;8;11;7;11;2;7;7;3;7;3
38-4;7;9;12;4;5;8;7;4;9;5;11;3;9;4;7;7;11;3;5;7;8;4;5;4
39-7;11;9;5;4;8;9;6;5;6;9;9;9;8;8;5;8;2;7;5;7;6;8;6;7
40-10;8;7;7;9;9;6;5;7;3;3;7;6;4;7;6;8;10;7;3;7;2;9;2;4
41-7;5;7;6;10;8;10;8;8;4;10;7;7;8;8;9;8;12;6;5;9;9;6;3;7
42-5;8;7;5;7;10;4;4;3;6;6;6;11;6;9;10;9;10;7;9;10;8;11;6;2
43-8;8;8;12;7;12;9;8;6;7;8;7;5;4;4;9;8;11;6;7;7;2;5;9;6
44-6;4;6;7;10;7;6;12;12;7;5;9;9;8;2;2;9;7;7;9;8;7;10;5;10
45-7;8;4;5;4;9;8;9;9;10;8;7;6;9;10;5;7;9;5;8;9;8;3;12;9
46-3;6;12;6;8;7;6;3;12;7;10;5;7;6;7;6;8;7;9;9;6;8;8;9;5
47-9;12;6;8;12;8;10;8;3;3;2;6;6;12;9;7;11;10;7;9;3;8;9;11;3
48-8;6;4;2;5;3;12;8;5;8;7;6;6;8;9;10;8;10;6;6;11;8;9;8;7
49-3;10;5;11;7;8;6;7;9;9;8;6;5;10;8;6;6;7;5;10;9;7;3;8;7
50-8;10;7;6;4;5;3;6;8;5;6;8;8;3;4;4;8;7;5;9;9;5;2;9;7
51-9;12;7;7;7;4;5;8;10;3;4;8;3;3;3;10;9;7;3;7;7;4;9;6;12
